id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
333,Burkha M,0,0,0.2,0.414039336,0,0,1.866666667,3.719959037,2.4,5.179630434,0.333333333,0.6172134,0,0,0,0
334,Cousin G,0.866666667,0.990430402,1.333333333,1.951800146,1.066666667,1.533747356,9.6,10.62207943,10.66666667,12.46518962,1.266666667,1.486446706,0.133333333,0.351865775,0,0
335,DeCler D,1,1.069044968,0.4,0.507092553,0.8,0.941123948,4.466666667,2.386469798,3.2,2.077085871,0.2,0.414039336,0.133333333,0.351865775,0,0
336,Duhn,0,0,0.066666667,0.25819889,0,0,0.466666667,1.807392228,0.933333333,3.614784456,0,0,0,0,0,0
337,Echols T,0.533333333,1.125462868,0.466666667,0.915475416,0.133333333,0.351865775,4.733333333,9.261800709,4.666666667,8.363753999,0.533333333,1.125462868,0,0,0,0
338,Feldma B,0,0,1.266666667,1.94446712,0.133333333,0.351865775,6.4,5.93777255,6.866666667,6.738658903,0.666666667,0.723746864,0.066666667,0.25819889,0,0
339,Groven T,0.066666667,0.25819889,0.266666667,0.798808637,0.266666667,0.59361684,4.666666667,6.651172471,5.266666667,7.401415566,0.4,0.632455532,0.2,0.560611911,0,0
340,Hawkin B,0.133333333,0.516397779,0,0,0.066666667,0.25819889,0.333333333,0.899735411,0.2,0.560611911,0,0,0,0,0,0
341,Johnso E,0.266666667,0.59361684,0.4,1.055597326,0.133333333,0.516397779,5.6,11.09568771,5.533333333,11.14108655,0.466666667,1.125462868,0.066666667,0.25819889,0,0
342,Johnso K,0.2,0.414039336,0.666666667,1.046536237,0,0,8.866666667,10.76281075,10.73333333,13.60917058,1,1.253566341,0,0,0,0
343,Jordan M,2.466666667,2.133630932,0.8,1.082325539,0.133333333,0.351865775,11.53333333,7.008837958,8.733333333,5.700459464,0.466666667,0.743223353,0.4,0.632455532,0,0
344,Jurek C,0.333333333,0.723746864,0.2,0.414039336,0.266666667,0.59361684,2.866666667,3.777124126,2.6,3.439269025,0.066666667,0.25819889,0.2,0.414039336,0,0
345,Kautz J,0.666666667,1.046536237,0,0,0.2,0.414039336,3.466666667,5.330058518,2.733333333,4.165618916,0,0,0,0,0,0
346,Kittle J,0.933333333,0.961150105,0.2,0.414039336,1.133333333,1.302013093,3.6,2.131397932,2.6,1.764733893,0.4,0.736788398,0.066666667,0.25819889,0,0
347,Klane J,1.533333333,1.125462868,3.8,2.274077521,0.4,0.632455532,38.8,21.02787266,47.2,23.29684221,2.2,1.521277659,0.066666667,0.25819889,0,0
348,Ladas N,0.466666667,0.639940473,0.466666667,1.060098827,0.333333333,0.816496581,2.8,3.342368707,2.333333333,3.062834044,0.2,0.414039336,0.133333333,0.351865775,0,0
349,Leonar I,0.933333333,1.624221425,0.133333333,0.351865775,0.866666667,1.187233679,2.4,3.112188022,1.533333333,1.959105724,0.133333333,0.351865775,0,0,0.066666667,0.25819889
350,Matis B,0.733333333,0.703731551,0.8,0.861891607,0.666666667,0.723746864,4.333333333,2.794552524,3.2,2.077085871,0.466666667,0.743223353,0.133333333,0.351865775,0,0
351,McCart M,0.133333333,0.351865775,0,0,0.066666667,0.25819889,0.533333333,1.457329587,0.266666667,0.798808637,0.133333333,0.351865775,0,0,0,0
352,McCutc C,0.733333333,1.222799287,0.2,0.414039336,1.133333333,1.407463101,4.133333333,3.020564438,3.4,3.042555317,0.066666667,0.25819889,0.2,0.414039336,0,0
353,Mekler W,0.666666667,1.290994449,0.6,1.121223821,0.066666667,0.25819889,10.26666667,13.41356811,10.93333333,14.20998978,0.533333333,0.990430402,0.133333333,0.516397779,0,0
354,Osgar R,1.266666667,1.437590577,2.933333333,2.433887739,0.266666667,0.457737708,22.73333333,16.0733438,20.8,14.91978552,1,1,0.2,0.560611911,0,0
355,Pangbu G,0.4,0.632455532,0.466666667,0.915475416,0.533333333,0.639940473,4.533333333,3.870523528,4.133333333,3.700707783,0.066666667,0.25819889,0.066666667,0.25819889,0,0
356,Polett T,0.733333333,0.961150105,1.6,1.549193338,0.333333333,0.6172134,39.33333333,25.9110199,46.6,29.03150998,1.666666667,1.447493729,0.133333333,0.351865775,0,0
357,Simone J,0,0,0.066666667,0.25819889,0.2,0.414039336,0.8,1.567527626,1.133333333,2.065591118,0.4,0.736788398,0.066666667,0.25819889,0,0
358,Taylor J,0.933333333,1.437590577,0.466666667,0.743223353,0.6,1.121223821,5.8,6.338093449,5.2,5.347896783,0.333333333,0.723746864,0.2,0.414039336,0,0
359,Taylor T,0,0,0,0,0,0,0.466666667,1.807392228,0.333333333,1.290994449,0.2,0.774596669,0,0,0,0
360,Trotte E,0.2,0.560611911,0.066666667,0.25819889,0.066666667,0.25819889,2.266666667,4.574255079,2.533333333,5.303188619,0.066666667,0.25819889,0.066666667,0.25819889,0,0
361,Tschid J,0.933333333,1.709915063,0.8,1.264911064,0.066666667,0.25819889,22.53333333,36.41794429,22.46666667,36.34333633,0.4,0.91025899,0.066666667,0.25819889,0,0
362,Vogt,0.133333333,0.516397779,0.066666667,0.25819889,0,0,0.8,2.111194652,0.6,1.594633859,0.066666667,0.25819889,0,0,0,0
